编号	城市	AQI指数	首要污染物	日期	空气质量级别
110	武汉市	105	臭氧8小时	2019-09-26	轻度污染
111	武汉市	103	二氧化氮	 2019-09-25	轻度污染
112	武汉市	101	臭氧8小时	2019-09-24	轻度污染
113	武汉市	96	臭氧8小时	2019-09-23	良
114	武汉市	91	臭氧8小时	2019-09-22	良
115	武汉市	89	臭氧8小时	2019-09-21	良
116	武汉市	68	臭氧8小时	2019-09-20	良
117	武汉市	110	臭氧8小时	2019-09-19	轻度污染
118	武汉市	49	—	2019-09-18	优
119	武汉市	47	—	2019-09-17	优
120	武汉市	50	—	2019-09-16	优
121	武汉市	67	臭氧8小时	2019-09-15	良
122	武汉市	77	臭氧8小时	2019-09-14	良
123	武汉市	150	臭氧8小时	2019-09-13	轻度污染
124	武汉市	157	臭氧8小时	2019-09-12	中度污染
125	武汉市	157	臭氧8小时	2019-09-11	中度污染
126	武汉市	148	臭氧8小时	2019-09-10	轻度污染
127	武汉市	152	臭氧8小时	2019-09-09	中度污染
128	武汉市	139	臭氧8小时	2019-09-08	轻度污染
129	武汉市	116	臭氧8小时	2019-09-07	轻度污染
130	武汉市	95	臭氧8小时	2019-09-06	良
131	武汉市	124	臭氧8小时	2019-09-05	轻度污染
132	武汉市	91	臭氧8小时	2019-09-04	良
133	武汉市	74	臭氧8小时	2019-09-03	良
134	武汉市	100	臭氧8小时	2019-09-02	良
135	武汉市	57	二氧化氮	2019-09-01	良
136	武汉市	73	臭氧8小时	2019-08-31	良
137	武汉市	98	臭氧8小时	2019-08-30	良
138	武汉市	121	臭氧8小时	2019-08-29	轻度污染
139	武汉市	47	—	2019-08-28	优
140	武汉市	55	臭氧8小时	2019-08-27	良
141	武汉市	65	臭氧8小时	2019-08-26	良
142	武汉市	126	臭氧8小时	2019-08-25	轻度污染
143	武汉市	145	臭氧8小时	2019-08-24	轻度污染
144	武汉市	133	臭氧8小时	2019-08-23	轻度污染
145	武汉市	104	臭氧8小时	2019-08-22	轻度污染
146	武汉市	125	臭氧8小时	2019-08-21	轻度污染
147	武汉市	171	臭氧8小时	2019-08-20	中度污染
148	武汉市	133	臭氧8小时	2019-08-19	轻度污染
149	武汉市	135	臭氧8小时	2019-08-18	轻度污染
150	武汉市	168	臭氧8小时	2019-08-17	中度污染
151	武汉市	104	臭氧8小时	2019-08-16	轻度污染
152	武汉市	103	臭氧8小时	2019-08-15	轻度污染
153	武汉市	113	臭氧8小时	2019-08-14	轻度污染
154	武汉市	124	臭氧8小时	2019-08-13	轻度污染
155	武汉市	95	臭氧8小时	2019-08-12	良
156	武汉市	67	臭氧8小时	2019-08-11	良
157	武汉市	35	—	2019-08-10	优
158	武汉市	69	臭氧8小时	2019-08-09	良
159	武汉市	83	臭氧8小时	2019-08-08	良
160	武汉市	82	臭氧8小时	2019-08-07	良
161	武汉市	108	臭氧8小时	2019-08-06	轻度污染
162	武汉市	105	臭氧8小时	2019-08-05	轻度污染
163	武汉市	122	臭氧8小时	2019-08-04	轻度污染
164	武汉市	75	臭氧8小时	2019-08-03	良
165	武汉市	51	臭氧8小时	2019-08-02	良
166	武汉市	73	臭氧8小时	2019-08-01	良
167	武汉市	74	臭氧8小时	2019-07-31	良
168	武汉市	51	臭氧8小时	2019-07-30	良
169	武汉市	56	臭氧8小时	2019-07-29	良
170	武汉市	52	臭氧8小时	2019-07-28	良
171	武汉市	56	臭氧8小时	2019-07-27	良
172	武汉市	57	臭氧8小时	2019-07-26	良
173	武汉市	57	臭氧8小时	2019-07-25	良
174	武汉市	67	臭氧8小时	2019-07-24	良
175	武汉市	49	—	2019-07-23	优
176	武汉市	65	臭氧8小时	2019-07-22	良
177	武汉市	99	臭氧8小时	2019-07-21	良
178	武汉市	122	臭氧8小时	2019-07-20	轻度污染
179	武汉市	51	臭氧8小时	2019-07-19	良
180	武汉市	45	—	2019-07-18	优
181	武汉市	53	颗粒物(PM10)	2019-07-17	良
182	武汉市	85	臭氧8小时	2019-07-16	良
183	武汉市	86	臭氧8小时	2019-07-15	良
184	武汉市	100	臭氧8小时	2019-07-14	良
185	武汉市	64	臭氧8小时	2019-07-13	良
186	武汉市	39	—	2019-07-12	优
187	武汉市	92	臭氧8小时	2019-07-11	良
188	武汉市	90	臭氧8小时	2019-07-10	良
189	武汉市	44	—	2019-07-09	优
190	武汉市	80	臭氧8小时	2019-07-08	良
191	武汉市	110	臭氧8小时	2019-07-07	轻度污染
192	武汉市	61	臭氧8小时	2019-07-06	良
193	武汉市	69	臭氧8小时	2019-07-05	良
194	武汉市	59	颗粒物(PM10)	2019-07-04	良
195	武汉市	132	臭氧8小时	2019-07-03	轻度污染
196	武汉市	160	臭氧8小时	2019-07-02	中度污染
197	武汉市	97	臭氧8小时	2019-07-01	良
198	武汉市	88	臭氧8小时	2019-06-30	良
199	武汉市	55	臭氧8小时	2019-06-29	良
200	武汉市	54	颗粒物(PM10)	2019-06-28	良
201	武汉市	102	臭氧8小时	2019-06-27	轻度污染
202	武汉市	132	臭氧8小时	2019-06-26	轻度污染
203	武汉市	128	臭氧8小时	2019-06-25	轻度污染
204	武汉市	137	臭氧8小时	2019-06-24	轻度污染
205	武汉市	103	臭氧8小时	2019-06-23	轻度污染
206	武汉市	51	臭氧8小时	2019-06-22	良
207	武汉市	26	—	2019-06-21	优
208	武汉市	54	臭氧8小时	2019-06-20	良
209	武汉市	43	—	2019-06-19	优
210	武汉市	48	—	2019-06-18	优
211	武汉市	38	—	2019-06-17	优
212	武汉市	55	臭氧8小时	2019-06-16	良
213	武汉市	130	臭氧8小时	2019-06-15	轻度污染
214	武汉市	141	臭氧8小时	2019-06-14	轻度污染
215	武汉市	95	臭氧8小时	2019-06-13	良
216	武汉市	91	臭氧8小时	2019-06-12	良
217	武汉市	121	臭氧8小时	2019-06-11	轻度污染
218	武汉市	101	臭氧8小时	2019-06-10	轻度污染
219	武汉市	112	臭氧8小时	2019-06-09	轻度污染
220	武汉市	96	臭氧8小时	2019-06-08	良
221	武汉市	131	臭氧8小时	2019-06-07	轻度污染
222	武汉市	80	臭氧8小时	2019-06-06	良
223	武汉市	76	臭氧8小时	2019-06-05	良
224	武汉市	108	臭氧8小时	2019-06-04	轻度污染
225	武汉市	102	臭氧8小时	2019-06-03	轻度污染
226	武汉市	96	臭氧8小时	2019-06-02	良
227	武汉市	106	臭氧8小时	2019-06-01	轻度污染
228	武汉市	113	臭氧8小时	2019-05-31	轻度污染
229	武汉市	49	—	2019-05-30	优
230	武汉市	65	臭氧8小时	2019-05-29	良
231	武汉市	82	臭氧8小时	2019-05-28	良
232	武汉市	79	臭氧8小时	2019-05-27	良
233	武汉市	63	臭氧8小时	2019-05-26	良
234	武汉市	47	—	2019-05-25	优
235	武汉市	81	臭氧8小时	2019-05-24	良
236	武汉市	137	臭氧8小时	2019-05-23	轻度污染
237	武汉市	97	臭氧8小时	2019-05-22	良
238	武汉市	78	颗粒物(PM10)	2019-05-21	良
239	武汉市	78	颗粒物(PM10)	2019-05-20	良
240	武汉市	45	—	2019-05-19	优
241	武汉市	81	臭氧8小时	2019-05-18	良
242	武汉市	65	二氧化氮	2019-05-17	良
243	武汉市	65	二氧化氮	2019-05-16	良
244	武汉市	45	—	2019-05-15	优
245	武汉市	110	颗粒物(PM10)	2019-05-14	轻度污染
246	武汉市	112	颗粒物(PM10)	2019-05-13	轻度污染
247	武汉市	98	二氧化氮	2019-05-12	良
248	武汉市	135	臭氧8小时	2019-05-11	轻度污染
249	武汉市	120	臭氧8小时	2019-05-10	轻度污染
250	武汉市	92	臭氧8小时	2019-05-09	良
251	武汉市	95	臭氧8小时	2019-05-08	良
252	武汉市	54	颗粒物(PM10)	2019-05-07	良
253	武汉市	64	臭氧8小时	2019-05-06	良
254	武汉市	85	二氧化氮	2019-05-05	良
255	武汉市	106	臭氧8小时	2019-05-04	轻度污染
256	武汉市	128	臭氧8小时	2019-05-03	轻度污染
257	武汉市	96	臭氧8小时	2019-05-02	良
258	武汉市	79	臭氧8小时	2019-05-01	良
259	武汉市	74	臭氧8小时	2019-04-30	良
260	武汉市	33	—	2019-04-29	优
261	武汉市	35	—	2019-04-28	优
262	武汉市	51	颗粒物(PM10)	2019-04-27	良
263	武汉市	52	颗粒物(PM10)	2019-04-26	良
264	武汉市	75	颗粒物(PM10)	2019-04-25	良
265	武汉市	134	臭氧8小时	2019-04-24	轻度污染
266	武汉市	60	臭氧8小时	2019-04-23	良
