编号	城市	AQI指数	首要污染物	日期	空气质量级别
127	上海市	47	—	2019-09-09	优
128	上海市	93	臭氧8小时	2019-09-08	良
129	上海市	79	臭氧8小时	2019-09-07	良
130	上海市	28	—	2019-09-06	优
131	上海市	42	—	2019-09-05	优
132	上海市	63	二氧化氮	2019-09-04	良
133	上海市	68	二氧化氮	2019-09-03	良
134	上海市	42	—	2019-09-02	优
135	上海市	54	臭氧8小时	2019-09-01	良
136	上海市	85	臭氧8小时	2019-08-31	良
137	上海市	111	臭氧8小时	2019-08-30	轻度污染
138	上海市	55	二氧化氮	2019-08-29	良
139	上海市	46	—	2019-08-28	优
140	上海市	85	臭氧8小时	2019-08-27	良
141	上海市	81	臭氧8小时	2019-08-26	良
142	上海市	23	—	2019-08-25	优
143	上海市	36	—	2019-08-24	优
144	上海市	64	臭氧8小时	2019-08-23	良
145	上海市	93	臭氧8小时	2019-08-22	良
146	上海市	110	臭氧8小时	2019-08-21	轻度污染
147	上海市	67	臭氧8小时	2019-08-20	良
148	上海市	82	臭氧8小时	2019-08-19	良
149	上海市	93	臭氧8小时	2019-08-18	良
150	上海市	181	臭氧8小时	2019-08-17	中度污染
151	上海市	170	臭氧8小时	2019-08-16	中度污染
152	上海市	118	臭氧8小时	2019-08-15	轻度污染
153	上海市	143	臭氧8小时	2019-08-14	轻度污染
154	上海市	85	臭氧8小时	2019-08-13	良
155	上海市	89	臭氧8小时	2019-08-12	良
156	上海市	40	—	2019-08-11	优
157	上海市	39	—	2019-08-10	优
158	上海市	25	—	2019-08-09	优
159	上海市	26	—	2019-08-08	优
160	上海市	38	—	2019-08-07	优
161	上海市	36	—	2019-08-06	优
162	上海市	24	—	2019-08-05	优
163	上海市	30	—	2019-08-04	优
164	上海市	25	—	2019-08-03	优
165	上海市	25	—	2019-08-02	优
166	上海市	38	—	2019-08-01	优
167	上海市	64	臭氧8小时	2019-07-31	良
168	上海市	99	臭氧8小时	2019-07-30	良
169	上海市	90	臭氧8小时	2019-07-29	良
170	上海市	70	臭氧8小时	2019-07-28	良
171	上海市	72	臭氧8小时	2019-07-27	良
172	上海市	97	臭氧8小时	2019-07-26	良
173	上海市	71	臭氧8小时	2019-07-25	良
174	上海市	78	臭氧8小时	2019-07-24	良
175	上海市	116	臭氧8小时	2019-07-23	轻度污染
176	上海市	90	臭氧8小时	2019-07-22	良
177	上海市	92	臭氧8小时	2019-07-21	良
178	上海市	45	—	2019-07-20	优
179	上海市	25	—	2019-07-19	优
180	上海市	25	—	2019-07-18	优
181	上海市	39	—	2019-07-17	优
182	上海市	38	—	2019-07-16	优
183	上海市	64	臭氧8小时	2019-07-15	良
184	上海市	93	臭氧8小时	2019-07-14	良
185	上海市	48	—	2019-07-13	优
186	上海市	44	—	2019-07-12	优
187	上海市	58	二氧化氮	2019-07-11	良
188	上海市	43	—	2019-07-10	优
189	上海市	37	—	2019-07-09	优
190	上海市	112	臭氧8小时	2019-07-08	轻度污染
191	上海市	137	臭氧8小时	2019-07-07	轻度污染
192	上海市	74	臭氧8小时	2019-07-06	良
193	上海市	61	臭氧8小时	2019-07-05	良
194	上海市	70	臭氧8小时	2019-07-04	良
195	上海市	71	臭氧8小时	2019-07-03	良
196	上海市	65	臭氧8小时	2019-07-02	良
197	上海市	48	—	2019-07-01	优
198	上海市	48	—	2019-06-30	优
199	上海市	57	细颗粒物(PM2.5)	2019-06-29	良
200	上海市	121	臭氧8小时	2019-06-28	轻度污染
201	上海市	75	臭氧8小时	2019-06-27	良
202	上海市	47	—	2019-06-26	优
203	上海市	45	—	2019-06-25	优
204	上海市	73	臭氧8小时	2019-06-24	良
205	上海市	60	臭氧8小时	2019-06-23	良
206	上海市	44	—	2019-06-22	优
207	上海市	39	—	2019-06-21	优
208	上海市	36	—	2019-06-20	优
209	上海市	46	—	2019-06-19	优
210	上海市	45	—	2019-06-18	优
211	上海市	80	臭氧8小时	2019-06-17	良
212	上海市	177	臭氧8小时	2019-06-16	中度污染
213	上海市	173	臭氧8小时	2019-06-15	中度污染
214	上海市	68	臭氧8小时	2019-06-14	良
215	上海市	54	臭氧8小时	2019-06-13	良
216	上海市	63	臭氧8小时	2019-06-12	良
217	上海市	63	臭氧8小时	2019-06-11	良
218	上海市	60	臭氧8小时	2019-06-10	良
219	上海市	87	臭氧8小时	2019-06-09	良
220	上海市	89	臭氧8小时	2019-06-08	良
221	上海市	59	臭氧8小时	2019-06-07	良
222	上海市	44	—	2019-06-06	优
223	上海市	91	臭氧8小时	2019-06-05	良
224	上海市	96	臭氧8小时	2019-06-04	良
225	上海市	87	臭氧8小时	2019-06-03	良
226	上海市	71	臭氧8小时	2019-06-02	良
227	上海市	65	臭氧8小时	2019-06-01	良
228	上海市	86	臭氧8小时	2019-05-31	良
229	上海市	85	臭氧8小时	2019-05-30	良
230	上海市	92	二氧化氮	2019-05-29	良
231	上海市	62	臭氧8小时	2019-05-28	良
